time,spot_ER_China
274,7.368140622079913
275,7.370959298139097
276,7.371053170526418
277,7.371055908444701
278,7.371055986789624
279,7.371055989030072
280,7.37105598909414
281,7.371055989095973
282,7.371055989096025
283,7.371055989096026
284,7.371055989096026
285,7.371055989096026
286,7.371055989096026
287,7.371055989096026
288,7.371055989096026
289,7.371055989096026
290,7.371055989096026
291,7.371055989096026
292,7.371055989096026
293,7.371055989096026
294,7.371055989096026
295,7.371055989096026
296,7.371055989096026
297,7.371055989096026
298,7.371055989096026
299,7.371055989096026
300,7.371055989096026
301,7.371055989096026
302,7.371055989096026
303,7.371055989096026
304,7.371055989096026
305,7.371055989096026
306,7.371055989096026
307,7.371055989096026
308,7.371055989096026
309,7.371055989096026
310,7.371055989096026
311,7.371055989096026
312,7.371055989096026
313,7.371055989096026
314,7.371055989096026
315,7.371055989096026
316,7.371055989096026
317,7.371055989096026
318,7.371055989096026
319,7.371055989096026
320,7.371055989096026
321,7.371055989096026
