time,spot_ER_China
274,6.484147046551394
275,6.519942824877645
276,6.507185852482936
277,6.493132748817108
278,6.491719855728628
279,6.411696454871619
280,6.426205937194706
281,6.4552981956892115
282,6.428620488589245
283,6.471671669077607
284,6.442891314165476
285,6.465223603387938
286,6.443900193036545
287,6.473467933244959
288,6.34718156598269
289,6.436965257289377
290,6.408494766180314
291,6.363749493547032
292,6.3528574113489436
293,6.501573225979748
294,6.376777620643795
295,6.349258845875537
296,6.304706785624558
297,6.356284866916308
298,6.398166211920151
299,6.426043166756693
300,6.396361187567906
301,6.340523525209805
302,6.358129481881606
303,6.426642142419332
304,6.299248049248324
305,6.374478983223823
306,6.247421484476041
307,6.418384434980578
308,6.3726292589269615
309,6.390016857015698
310,6.350750580879617
311,6.335457555687115
312,6.324972604468507
313,6.353862712183402
314,6.296360475146362
315,6.4138839333560504
316,6.400538861902047
317,6.3079814212624665
318,6.291518400872161
319,6.316138728930677
320,6.366283136024754
321,6.379632364798892
